i:0, r:0, g:0, b:0
i:103, r:160, g:128, b:192
i:104, r:96, g:0, b:64
i:105, r:224, g:0, b:64
i:106, r:96, g:128, b:64
i:107, r:224, g:128, b:64
i:108, r:96, g:0, b:192
i:109, r:224, g:0, b:192
i:110, r:96, g:128, b:192
i:111, r:224, g:128, b:192
i:112, r:32, g:64, b:64
i:113, r:160, g:64, b:64
i:114, r:32, g:192, b:64
i:115, r:160, g:192, b:64
i:116, r:32, g:64, b:192
i:117, r:160, g:64, b:192
i:118, r:32, g:192, b:192
i:119, r:160, g:192, b:192
i:120, r:96, g:64, b:64
i:121, r:224, g:64, b:64
i:122, r:96, g:192, b:64
i:123, r:224, g:192, b:64
i:124, r:96, g:64, b:192
i:125, r:224, g:64, b:192
i:126, r:96, g:192, b:192
i:127, r:224, g:192, b:192
i:128, r:0, g:32, b:0
i:129, r:128, g:32, b:0
i:130, r:0, g:160, b:0
i:131, r:128, g:160, b:0
i:132, r:0, g:32, b:128
i:133, r:128, g:32, b:128
i:134, r:0, g:160, b:128
i:135, r:128, g:160, b:128
i:136, r:64, g:32, b:0
i:137, r:192, g:32, b:0
i:138, r:64, g:160, b:0
i:139, r:192, g:160, b:0
i:140, r:64, g:32, b:128
i:141, r:192, g:32, b:128
i:142, r:64, g:160, b:128
i:143, r:192, g:160, b:128
i:144, r:0, g:96, b:0
i:145, r:128, g:96, b:0
i:146, r:0, g:224, b:0
i:147, r:128, g:224, b:0
i:148, r:0, g:96, b:128
i:149, r:128, g:96, b:128
i:150, r:0, g:224, b:128
i:151, r:128, g:224, b:128
i:152, r:64, g:96, b:0
i:153, r:192, g:96, b:0
i:154, r:64, g:224, b:0
i:155, r:192, g:224, b:0
i:156, r:64, g:96, b:128
i:157, r:192, g:96, b:128
i:158, r:64, g:224, b:128
i:159, r:192, g:224, b:128
i:160, r:0, g:32, b:64
i:161, r:128, g:32, b:64
i:162, r:0, g:160, b:64
i:163, r:128, g:160, b:64
i:164, r:0, g:32, b:192
i:165, r:128, g:32, b:192
i:166, r:0, g:160, b:192
i:167, r:128, g:160, b:192
i:168, r:64, g:32, b:64
i:169, r:192, g:32, b:64
i:170, r:64, g:160, b:64
i:171, r:192, g:160, b:64
i:172, r:64, g:32, b:192
i:173, r:192, g:32, b:192
i:174, r:64, g:160, b:192
i:175, r:192, g:160, b:192
i:176, r:0, g:96, b:64
i:177, r:128, g:96, b:64
i:178, r:0, g:224, b:64
i:179, r:128, g:224, b:64
i:180, r:0, g:96, b:192
i:181, r:128, g:96, b:192
i:182, r:0, g:224, b:192
i:183, r:128, g:224, b:192
i:184, r:64, g:96, b:64
i:185, r:192, g:96, b:64
i:186, r:64, g:224, b:64
i:187, r:192, g:224, b:64
i:188, r:64, g:96, b:192
i:189, r:192, g:96, b:192
i:190, r:64, g:224, b:192
i:191, r:192, g:224, b:192
i:192, r:32, g:32, b:0
i:193, r:160, g:32, b:0
i:194, r:32, g:160, b:0
i:195, r:160, g:160, b:0
i:196, r:32, g:32, b:128
i:197, r:160, g:32, b:128
i:198, r:32, g:160, b:128
i:199, r:160, g:160, b:128
i:200, r:96, g:32, b:0
i:201, r:224, g:32, b:0
i:202, r:96, g:160, b:0
i:203, r:224, g:160, b:0
i:204, r:96, g:32, b:128
i:205, r:224, g:32, b:128
i:206, r:96, g:160, b:128
i:207, r:224, g:160, b:128
i:208, r:32, g:96, b:0
i:209, r:160, g:96, b:0
i:210, r:32, g:224, b:0
i:211, r:160, g:224, b:0
i:212, r:32, g:96, b:128
i:213, r:160, g:96, b:128
i:214, r:32, g:224, b:128
i:215, r:160, g:224, b:128
i:216, r:96, g:96, b:0
i:217, r:224, g:96, b:0
i:218, r:96, g:224, b:0
i:219, r:224, g:224, b:0
i:220, r:96, g:96, b:128
i:221, r:224, g:96, b:128
i:222, r:96, g:224, b:128
i:223, r:224, g:224, b:128
i:224, r:32, g:32, b:64
i:225, r:160, g:32, b:64
i:226, r:32, g:160, b:64
i:227, r:160, g:160, b:64
i:228, r:32, g:32, b:192
i:229, r:160, g:32, b:192
i:230, r:32, g:160, b:192
i:231, r:160, g:160, b:192
i:232, r:96, g:32, b:64
i:233, r:224, g:32, b:64
i:234, r:96, g:160, b:64
i:235, r:224, g:160, b:64
i:236, r:96, g:32, b:192
i:237, r:224, g:32, b:192
i:238, r:96, g:160, b:192
i:239, r:224, g:160, b:192
i:240, r:32, g:96, b:64
i:241, r:160, g:96, b:64
i:242, r:32, g:224, b:64
i:243, r:160, g:224, b:64
i:244, r:32, g:96, b:192
i:245, r:160, g:96, b:192
i:246, r:32, g:224, b:192
i:247, r:160, g:224, b:192
i:248, r:96, g:96, b:64
i:249, r:224, g:96, b:64
i:250, r:96, g:224, b:64
i:251, r:224, g:224, b:64
i:252, r:96, g:96, b:192
i:253, r:224, g:96, b:192
i:254, r:96, g:224, b:192
i:255, r:224, g:224, b:192
